Quarter,YOY (%),index,Percentage Change
Q2 2018,0,^SSMI,0.5
Q3 2018,1,^SSMI,1
Q4 2018,1,^SSMI,1
Q1 2019,1,^SSMI,1
Q2 2019,1,^SSMI,1
Q3 2019,1,^SSMI,1
Q4 2019,1,^SSMI,1
Q1 2020,1,^SSMI,1
Q2 2020,1,^SSMI,0.5
Q3 2020,0,^SSMI,0
Q4 2020,0,^SSMI,0
Q1 2021,0,^SSMI,0
Q2 2021,0,^SSMI,0
Q3 2021,0,^SSMI,0
Q4 2021,0,^SSMI,0
Q1 2022,0,^SSMI,0
Q2 2022,0,^SSMI,0
Q3 2022,0,^SSMI,0
