Quarter,YOY (%),index,Percentage Change
Q4 2011,0,^HSI,0
Q1 2012,0,^HSI,0.25
Q2 2012,1,^HSI,1
Q3 2012,1,^HSI,1
Q4 2012,1,^HSI,1
Q1 2013,1,^HSI,1
Q2 2013,1,^HSI,1
Q3 2013,1,^HSI,1
Q4 2013,1,^HSI,1
Q1 2014,1,^HSI,0.5
Q2 2014,0,^HSI,0
Q3 2014,0,^HSI,0
Q4 2014,0,^HSI,0
Q1 2015,0,^HSI,0.5
Q2 2015,1,^HSI,1
Q3 2015,1,^HSI,1
Q4 2015,1,^HSI,1
Q1 2016,1,^HSI,1
Q2 2016,1,^HSI,1
Q3 2016,1,^HSI,1
Q4 2016,1,^HSI,1
Q1 2017,1,^HSI,0.75
Q2 2017,0,^HSI,0
Q3 2017,0,^HSI,0
Q4 2017,0,^HSI,0
Q1 2018,0,^HSI,0
Q2 2018,0,^HSI,0
Q3 2018,0,^HSI,0
Q4 2018,0,^HSI,0
Q1 2019,0,^HSI,0
Q2 2019,0,^HSI,0
Q3 2019,0,^HSI,0
Q4 2019,0,^HSI,0.25
Q1 2020,1,^HSI,1
Q2 2020,1,^HSI,0.5
Q3 2020,0,^HSI,0
Q4 2020,0,^HSI,0
Q1 2021,0,^HSI,0
Q2 2021,0,^HSI,0
Q3 2021,0,^HSI,0
Q4 2021,0,^HSI,0
Q1 2022,0,^HSI,0
Q2 2022,0,^HSI,0
Q3 2022,0,^HSI,0
