DATE,QJPN628BIS
2000-10-01,140.6731
2001-01-01,139.1347
2001-04-01,137.5091
2001-07-01,135.8654
2001-10-01,134.0385
2002-01-01,132.2116
2002-04-01,130.3948
2002-07-01,128.5577
2002-10-01,126.4904
2003-01-01,124.4231
2003-04-01,122.3672
2003-07-01,120.2885
2003-10-01,118.3654
2004-01-01,116.4424
2004-04-01,114.7116
2004-07-01,112.9808
2004-10-01,111.5866
2005-01-01,110.1924
2005-04-01,108.9493
2005-07-01,107.6924
2005-10-01,106.827
2006-01-01,105.9616
2006-04-01,105.3878
2006-07-01,104.8077
2006-10-01,104.5674
2007-01-01,104.327
2007-04-01,104.1835
2007-07-01,104.0385
2007-10-01,103.7981
2008-01-01,103.5577
2008-04-01,102.8847
2008-07-01,102.2116
2008-10-01,101.1539
2009-01-01,99.2083
2009-04-01,97.7081
2009-07-01,99.1416
2009-10-01,98.2749
2010-01-01,99.6083
2010-04-01,99.775
2010-07-01,100.375
2010-10-01,100.2417
2011-01-01,100.4417
2011-04-01,99.975
2011-07-01,100.6084
2011-10-01,99.2416
2012-01-01,99.9417
2012-04-01,98.8749
2012-07-01,99.1416
2012-10-01,98.8082
2013-01-01,99.475
2013-04-01,100.575
2013-07-01,101.6085
2013-10-01,101.5751
2014-01-01,102.5419
2014-04-01,102.0752
2014-07-01,102.7086
2014-10-01,102.1752
2015-01-01,104.9754
2015-04-01,104.6421
2015-07-01,105.6421
2015-10-01,104.1753
2016-01-01,106.6756
2016-04-01,107.7423
2016-07-01,107.509
2016-10-01,106.8089
2017-01-01,110.8426
2017-04-01,109.9092
2017-07-01,110.1425
2017-10-01,108.7424
2018-01-01,112.5427
2018-04-01,112.0093
2018-07-01,112.1093
2018-10-01,111.476
2019-01-01,115.1429
2019-04-01,114.1762
2019-07-01,113.5095
2019-10-01,112.5427
2020-01-01,114.6429
2020-04-01,113.3761
2020-07-01,113.3761
2020-10-01,114.3095
2021-01-01,118.4765
2021-04-01,119.5766
2021-07-01,122.6102
2021-10-01,122.1102
2022-01-01,129.2108
2022-04-01,130.5775
2022-07-01,132.2444
2022-10-01,131.3109
2023-01-01,135.4113
